"pool_size","duration","p99_ms","repeat","sellout_sec","p50_ms","db_active","excess_reservations","http_reqs","duplicated_seats","run_id","vus","sweep","strategy","pool_timeouts","kind","seat_count","label","error_rate","usage_ms","tps_spread_pct","check_ok_rate","tps","db_cpu_pct","sold_seats","max_ms","db_conns","acquire_ms","p95_ms","value"
"70","15s","47.27","2","0.52","18.67","1.9","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","6.399","","0.6667","6223.9","97.3","500","185.23","71","11.829","32.75","70"
"70","15s","43.74","3","0.398","18.4","1.6","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","6.24","","0.6667","6339.3","86.8","500","88.68","71","11.629","31.82","70"
"70","15s","47.27","0","0.52","18.67","1.6","0","","","20260907-202637","200","DB_POOL_SIZE","atomic","","median","1000","풀크기-2코어","","6.399","2","","6339.3","86.8","","","71","11.829","32.75","70"
"100","15s","53.57","1","0.631","18.87","1.6","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","9.722","","0.6667","6219.7","95","500","168.03","101","8.94","31.96","100"
"100","15s","44.68","2","0.463","18.09","1.7","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","9.087","","0.6667","6357.5","94.3","500","89.34","101","8.614","30.18","100"
"100","15s","39.8","3","0.408","18.31","1.6","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","9.026","","0.6667","6372.1","87","500","118.73","101","8.55","29.06","100"
"100","15s","44.68","0","0.463","18.31","1.6","0","","","20260907-202637","200","DB_POOL_SIZE","atomic","","median","1000","풀크기-2코어","","9.087","2.4","","6357.5","94.3","","","101","8.614","30.18","100"
"150","15s","48.41","1","0.632","21.19","1.1","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","16.381","","0.6667","6446.2","90.1","500","178.19","151","3.526","32.41","150"
"150","15s","52.33","2","0.461","18.09","1.1","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","14.043","","0.6667","6287.2","92.8","500","100.03","151","3.623","28.37","150"
"150","15s","54.68","3","0.741","17.65","1","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","13.839","","0.6667","6334.3","104.7","500","203.89","151","3.561","27.71","150"
"150","15s","52.33","0","0.632","18.09","1.1","0","","","20260907-202637","200","DB_POOL_SIZE","atomic","","median","1000","풀크기-2코어","","14.043","2.5","","6334.3","92.8","","","151","3.561","28.37","150"
"200","15s","63.79","1","0.868","21.12","1","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","20.5","","0.6667","6297.4","94.4","500","376.59","201","0.037","33.87","200"
"200","15s","59.83","2","0.71","17.71","1.4","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","17.754","","0.6667","6275.4","103.6","500","233.71","201","0.019","28.87","200"
"200","15s","50.78","3","0.601","18.04","1.3","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","17.565","","0.6667","6336.1","84.8","500","169.91","201","0.02","26.49","200"
"200","15s","59.83","0","0.71","18.04","1.3","0","","","20260907-202637","200","DB_POOL_SIZE","atomic","","median","1000","풀크기-2코어","","17.754","1","","6297.4","94.4","","","201","0.02","28.87","200"
